"Centre: Name","Inventory: Name","Unit Type","Floor"
"Gurgaon Central","NCR/GC/DD/06/005","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/006","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/007","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/008","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/009","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/010","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/011","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/012","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/013","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/014","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/015","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/PS/06/059","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/060","Private Studio","6"
"Gurgaon Central","NCR/GC/PS/06/061","Private Studio","6"
"Gurgaon Central","NCR/GC/DD/06/016","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/017","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/018","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/019","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/020","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/021","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/022","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/023","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/024","Dedicated Desk","6"
"Gurgaon Central","NCR/GC/DD/06/025","Dedicated Desk","6"
