Proposal: Proposal Name,Contract Number,Status,Account Name,Account Owner,Centre
MUM/BC/02084/2,1726,Formal Notice Given,R R N Badhree,Maaz Shaikh,CoWrks Worli
MUM/BC/02091/3,1752,Activated,Xponentia Capital Partners,Sneha Khemani,CoWrks Worli
MUM/BC/02063/1,1707,Activated,Nimisha Shah,Sneha Khemani,CoWrks Worli
MUM/BC/02141/2,1761,Activated,Prinseps Auctions (P) Ltd,Sneha Khemani,CoWrks Worli
MUM/BC/02148/2,1766,Activated,Prose Design House Pvt Ltd,Sneha Khemani,CoWrks Worli
MUM/BC/02103/1,1775,Activated,White Whale Partners,Sneha Khemani,CoWrks Worli
MUM/BC/02151/2,1769,Activated,Varde India Investment Adviser Private Limited,Sneha Khemani,CoWrks Worli
MUM/BC/01679/1,1728,Activated,Alteria Capital,Maaz Shaikh,CoWrks Worli
MUM/BC/01957/1,1589,Activated,Varde India Investment Adviser Private Limited,Sneha Khemani,CoWrks Worli
MUM/BC/02055/1,1693,Activated,Mountain Lion Partners,Maaz Shaikh,CoWrks Worli
MUM/BC/02116/1,1756,Activated,Deepak Sood,Sneha Khemani,CoWrks Worli
MUM/BC/02120/2,1745,Activated,Prinseps Auctions (P) Ltd,Sneha Khemani,CoWrks Worli
MUM/BC/02165/1,1774,Activated,Karza Technologies,Sneha Khemani,CoWrks Worli
MUM/BC/01936/1,1586,Activated,India SME Investments LLP,Sneha Khemani,CoWrks Worli
MUM/BC/02167/2,1777,Activated,Xponentia Capital Partners,Sneha Khemani,CoWrks Worli
MUM/BC/01448/4,1138,Activated,Aria CFO Services LLP,Maaz Shaikh,CoWrks Worli
MUM/BC/01496/1,1142,Activated,Ony by One Design Pvt Ltd,Maaz Shaikh,CoWrks Worli
MUM/BC/01606/1,1262,Activated,Gautam Shiknis,Maaz Shaikh,CoWrks Worli
MUM/BC/01739/1,1382,Formal Notice Given,SMAAASH Innovation Pvt Ltd,Sneha Khemani,CoWrks Worli
MUM/BC/01379/2,1240,Activated,Digisense CustomerIQ Pvt. Ltd.,Sneha Khemani,CoWrks Worli
MUM/BC/01732/1,1365,Activated,White Whale Partners,Sneha Khemani,CoWrks Worli
MUM/BC/01666/2,1321,Activated,JM Holdings,Sneha Khemani,CoWrks Worli
MUM/BC/01641/2,1381,Activated,Roundglass H2O Pvt. Ltd.,Maaz Shaikh,CoWrks Worli
MUM/BC/01300/1,1053,Activated,Karza Technologies,Sneha Khemani,CoWrks Worli
MUM/BC/01251/1,987,Activated,Shree Dalmia Enterprises,Rumpa Das,CoWrks Worli
NCR/GC/02529/1,2079,Activated,I Port Technologies Private Limited,Khushboo Parakh,Gurgaon Central
NCR/GC/02300/1,1894,Activated,Sumaaroh Productions Private Limited,Khushboo Parakh,Gurgaon Central
NCR/GC/02621/1,2145,Activated,DEININGER Management Consultants Private Limited,Khushboo Parakh,Gurgaon Central
NCR/GC/02457/1,2016,Activated,Singhi Advisors & Financial Services LLP,Dhruv Agarwal,Gurgaon Central
NCR/GC/02382/1,1963,Activated,Singhi Advisors & Financial Services LLP,Dhruv Agarwal,Gurgaon Central
NCR/GC/02456/1,2017,Activated,Feministaa,Rumpa Das,Gurgaon Central
NCR/GC/02432/1,2005,Activated,DEININGER Management Consultants Private Limited,Khushboo Parakh,Gurgaon Central
NCR/GC/02204/2,1870,Activated,ABBKUS (OPC) PRIVATE LIMITED,Khushboo Parakh,Gurgaon Central
NCR/GC/02371/1,2099,Activated,Ayana Renewable Power Pvt Ltd,Arjun Gulati,Gurgaon Central
NCR/GC/02205/1,1818,Activated,I Port Technologies Private Limited,Khushboo Parakh,Gurgaon Central
NCR/GC/02550/1,2090,Activated,Angad Talwar,Khushboo Parakh,Gurgaon Central
NCR/GC/02210/1,1842,Activated,Labib Mobinets Private Limited,Khushboo Parakh,Gurgaon Central
NCR/GC/02329/2,1920,Activated,I Port Technologies Private Limited,Khushboo Parakh,Gurgaon Central
NCR/GC/02413/1,2150,Activated,Luxeva India Private Limited,Dhruv Agarwal,Gurgaon Central
NCR/GC/02891/1,2347,Activated,Purple Sketch Digital,Dhruv Agarwal,Gurgaon Central
NCR/GC/02366/1,2449,Activated,Unbox Technologies Pvt Ltd,Raghu Ram,Gurgaon Central
NCR/GC/03018/1,2419,Activated,Vivek Kumar Singh(Wunder),Khushboo Parakh,Gurgaon Central
NCR/GC/03083/1,2454,Activated,Sparks & Gs Private Limited,Khushboo Parakh,Gurgaon Central
NCR/GC/02896/1,2354,Activated,Sileng Manufacturing India Pvt Ltd,Khushboo Parakh,Gurgaon Central
NCR/GC/02628/1,2508,Activated,R M Consultancy LLP,Arjun Gulati,Gurgaon Central
NCR/GC/02628/1,2258,Activated,R M Consultancy LLP,Arjun Gulati,Gurgaon Central
NCR/GC/02337/1,2421,Activated,Cvent India Private Limited,Dhruv Agarwal,Gurgaon Central
NCR/GC/03140/1,2490,Activated,Avidsecure India Private Limited,Dhruv Agarwal,Gurgaon Central
NCR/GC/03025/1,2423,Activated,Infinia Corporate Solutions Private Limited,Dhruv Agarwal,Gurgaon Central
NCR/GC/03059/2,2473,Activated,Cvent India Private Limited,Dhruv Agarwal,Gurgaon Central
NCR/GC/02917/1,2369,Activated,I Port Technologies Private Limited,Khushboo Parakh,Gurgaon Central
NCR/GC/03012/2,2441,Activated,I Port Technologies Private Limited,Khushboo Parakh,Gurgaon Central
NCR/GC/03021/1,2422,Activated,Simrat Kaur,Khushboo Parakh,Gurgaon Central
NCR/GC/02882/1,2346,Activated,Infinia Corporate Solutions Private Limited,Dhruv Agarwal,Gurgaon Central
BLR/RR/02868/4,2343,Activated,Fyle Technologies Private Limited,Jithin Raj,Residency Road
BLR/RR/02879/1,2356,Activated,SWYM TECHNOLOGIES PRIVATE LIMITED,Jithin Raj,Residency Road
BLR/RR/02676/1,2303,Activated,Fyle Technologies Private Limited,Jithin Raj,Residency Road
BLR/EW/00570/1,544,Month on Month,EFlair,Auguste Pocuinaite,RMZ EcoWorld
BLR/EW/00653/1,623,Month on Month,Sunil Gopinath,Smriti Gautam,RMZ EcoWorld
BLR/EW/00614/1,600,Month on Month,Shopinbox Inc.,Rumpa Das,RMZ EcoWorld
BLR/EW/00578/1,547,Month on Month,CaterNinja Internet Food LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/00440/1,531,Activated,Lavelle Networks,Auguste Pocuinaite,RMZ EcoWorld
BLR/EW/00595/1,561,Month on Month,TEAPOD Consultancy Services LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/00553/2,610,Month on Month,DIGITALDOT CONSULTANCY INDIA PVT. LTD.,Rumpa Das,RMZ EcoWorld
BLR/EW/00667/4,644,Month on Month,Kiwings Services Pvt Ltd,Khursheed Alem Khan,RMZ EcoWorld
BLR/EW/00434/4,425,Activated,GloZen Secure,Auguste Pocuinaite,RMZ EcoWorld
BLR/EW/00646/1,621,Activated,UG Consultancy Services LLP,Khursheed Alem Khan,RMZ EcoWorld
BLR/EW/00642/1,617,Month on Month,International Institute for Learning Private Limited,Khursheed Alem Khan,RMZ EcoWorld
BLR/EW/00582/1,551,Activated,Lavelle Networks,Auguste Pocuinaite,RMZ EcoWorld
BLR/EW/00467/1,460,Activated,TransFunnel,Khursheed Alem Khan,RMZ EcoWorld
BLR/EW/00544/1,526,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/00473/1,466,Activated,Softomotive,Rumpa Das,RMZ EcoWorld
BLR/EW/00516/1,499,Month on Month,CaterNinja Internet Food LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/00484/1,476,Month on Month,Accolite Software,Rumpa Das,RMZ EcoWorld
BLR/EW/00449/1,449,Activated,Wissen,Rumpa Das,RMZ EcoWorld
BLR/EW/00465/1,473,Month on Month,Sigma Sustainability Institute Private Limited,Auguste Pocuinaite,RMZ EcoWorld
BLR/EW/00543/1,528,Activated,Parexel,Rumpa Das,RMZ EcoWorld
BLR/EW/00421/2,451,Month on Month,Green Business Certification Institute Pvt. Ltd.,Smriti Gautam,RMZ EcoWorld
BLR/EW/00443/1,437,Activated,QA InfoTech,Imaad Ahmed,RMZ EcoWorld
BLR/EW/00437/1,527,Activated,Mr. Raghunandan Gangappa,Rumpa Das,RMZ EcoWorld
BLR/EW/00476/1,469,Month on Month,Elcinco Inc,Khursheed Alem Khan,RMZ EcoWorld
BLR/EW/01344/2,1082,Activated,Kiran Kumar,Raghu Ram,RMZ EcoWorld
BLR/EW/00249/1,278,Month on Month,QA InfoTech,Imaad Ahmed,RMZ EcoWorld
BLR/EW/00844/3,877,Formal Notice Given,Prowareness software services,Smriti Gautam,RMZ EcoWorld
BLR/EW/00135/1,184,Month on Month,Bharat Kumar Mallineni,Smriti Gautam,RMZ EcoWorld
BLR/EW/00137/1,187,Activated,Bharat Kumar Mallineni,Smriti Gautam,RMZ EcoWorld
BLR/EW/00399/1,530,Activated,Elevar,Rumpa Das,RMZ EcoWorld
BLR/EW/02305/1,1899,Activated,Roli Saxena,Rumpa Das,RMZ EcoWorld
BLR/EW/02537/1,2158,Activated,Z Estates Pvt Ltd,Khursheed Alem Khan,RMZ EcoWorld
BLR/EW/02028/1,1855,Activated,Unbox Technologies Pvt Ltd,Raghu Ram,RMZ EcoWorld
BLR/EW/02489/1,2085,Activated,Sandeep Kumar Nadanalige,Antoinette Monisha,RMZ EcoWorld
BLR/EW/02743/1,2204,Activated,dDriven Data Sciences & Analytics Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/02404/1,1995,Activated,Positive Moves India Consulting Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/02637/1,2147,Activated,Decurtis Software Solutions Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/02460/1,2117,Activated,Azure Knowledge Corporation Pvt. Ltd,Jithin Raj,RMZ EcoWorld
BLR/EW/02613/1,2216,Activated,Ushur Inc,Rumpa Das,RMZ EcoWorld
BLR/EW/02796/1,2248,Activated,K4 Bangalore Angel Network Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/01908/1,1915,Activated,True Caller International LLP,Smriti Gautam,RMZ EcoWorld
BLR/EW/02401/1,1973,Activated,AQR Capital India Services LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02539/1,2081,Activated,Viacom 18 Media Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/02298/1,1891,Activated,dDriven Data Sciences & Analytics Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/02411/1,1984,Activated,Vivek,Smriti Gautam,RMZ EcoWorld
BLR/EW/02234/1,1851,Activated,Ashish Sahu,Rumpa Das,RMZ EcoWorld
BLR/EW/02475/2,2027,Activated,Decurtis Software Solutions Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/02225/1,1830,Activated,Infratab Bangalore Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/02149/1,1881,Activated,Sixt R&D Pvt Ltd,Smriti Gautam,RMZ EcoWorld
BLR/EW/02322/1,1912,Activated,Rishi Chandra,Rumpa Das,RMZ EcoWorld
BLR/EW/02609/1,2130,Activated,Softomotive,Rumpa Das,RMZ EcoWorld
BLR/EW/02233/1,1860,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02363/1,1932,Activated,FINACCEL PTE. LTD.,Rumpa Das,RMZ EcoWorld
BLR/EW/02650/1,2178,Activated,Vishesh Sethi,Antoinette Monisha,RMZ EcoWorld
BLR/EW/02391/1,1997,Activated,Infratab Bangalore Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/02392/1,2086,Activated,Alfanar Engineering Services India Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/02530/1,2093,Activated,Sandeep Dhariwal,Pradheep Kumar,RMZ EcoWorld
BLR/EW/02523/1,2137,Activated,EULOGIA INFOTECH PRIVATE LIMITED,Khursheed Alem Khan,RMZ EcoWorld
BLR/EW/02756/1,2209,Activated,Arete Advisors LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02380/2,1936,Activated,AQR Capital India Services LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02154/1,2217,Activated,Ushur Inc,Rumpa Das,RMZ EcoWorld
BLR/EW/01883/1,1904,Activated,Uipath Robotic Process Automation India Private Limited,Smriti Gautam,RMZ EcoWorld
BLR/EW/02564/1,2159,Activated,ScaleneWorks People Solution LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02570/1,2183,Activated,Ameen Ahmed,Rumpa Das,RMZ EcoWorld
BLR/EW/02158/1,1840,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02323/1,1913,Activated,Elevar,Rumpa Das,RMZ EcoWorld
BLR/EW/02244/1,1850,Activated,Blitzpath Innovations Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/02693/1,2185,Activated,RR DONNELLEY INDIA OUTSOURCED PRIVATE LIMITED,Rumpa Das,RMZ EcoWorld
BLR/EW/02876/1,2341,Activated,AQR Capital India Services LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02798/1,2252,Activated,Dhatraditya Jonnavittula,Rumpa Das,RMZ EcoWorld
BLR/EW/02819/1,2271,Formal Notice Given,Pooja Maggu,Rumpa Das,RMZ EcoWorld
BLR/EW/02803/1,2316,Activated,Marcellus Infotech Pvt Ltd,Jithin Raj,RMZ EcoWorld
BLR/EW/03022/1,2420,Activated,Sai Shankar,Jithin Raj,RMZ EcoWorld
BLR/EW/02895/1,2351,Activated,Infratab Bangalore Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/02936/1,2392,Activated,HIL Infotech LLP,Jithin Raj,RMZ EcoWorld
BLR/EW/03072/1,2450,Activated,Alfanar Engineering Services India Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/03015/1,2418,Activated,Intuition.ai India Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/03033/1,2427,Activated,Bharti Airtel Ltd,Rumpa Das,RMZ EcoWorld
BLR/EW/03098/1,2483,Activated,AQR Capital India Services LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02930/1,2376,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/03032/2,2431,Activated,FINNABLE CREDIT PRIVATE LIMITED,Rumpa Das,RMZ EcoWorld
BLR/EW/03084/1,2456,Activated,Sixt R&D Pvt Ltd,Smriti Gautam,RMZ EcoWorld
BLR/EW/03118/1,2474,Activated,Ellicium Solutions Pvt. Ltd,Raksha Hegde,RMZ EcoWorld
BLR/EW/02931/1,2375,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02959/1,2393,Activated,Alfanar Engineering Services India Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/03061/1,2443,Activated,HIL Infotech LLP,Jithin Raj,RMZ EcoWorld
BLR/EW/01179/1,1093,Activated,Execu Pharm (India) Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/00758/1,721,Month on Month,Manish Malik,Imaad Ahmed,RMZ EcoWorld
BLR/EW/01582/1,1568,Activated,Saggezza India Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/02000/1,1647,Activated,Decurtis Software Solutions Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/02099/1,1725,Activated,ETRUE VALUE.COM,Rumpa Das,RMZ EcoWorld
BLR/EW/02048/1,1695,Activated,Ashika Gupta,Rumpa Das,RMZ EcoWorld
BLR/EW/01963/1,1592,Activated,Basant Sahoo,Rumpa Das,RMZ EcoWorld
BLR/EW/02067/1,1712,Activated,itelligence India Software Solutions Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/01306/1,1150,Activated,CIIE Advisors Private Limited,Raghu Ram,RMZ EcoWorld
BLR/EW/02144/2,1757,Activated,itelligence India Software Solutions Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/01986/2,1625,Activated,Resurgent Business Pvt Ltd,Rumpa Das,RMZ EcoWorld
BLR/EW/01724/1,1705,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02170/1,1781,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/01964/1,1669,Activated,DIGITALDOT CONSULTANCY INDIA PVT. LTD.,Rumpa Das,RMZ EcoWorld
BLR/EW/02018/1,1702,Activated,Viacom 18 Media Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/00481/1,1130,Activated,Sigfox,Rumpa Das,RMZ EcoWorld
BLR/EW/01996/3,1629,Activated,Bharti Airtel Ltd,Rumpa Das,RMZ EcoWorld
BLR/EW/01974/1,1602,Activated,dDriven Data Sciences & Analytics Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/01866/1,1598,Activated,Decurtis Software Solutions Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/01898/1,1549,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/02026/1,1651,Activated,QA InfoTech,Imaad Ahmed,RMZ EcoWorld
BLR/EW/01833/1,1554,Activated,Visteon Technical and Services Centre Pvt.Ltd,Imaad Ahmed,RMZ EcoWorld
BLR/EW/01859/1,1668,Activated,Kavvedh Solutions Pvt Ltd,Raksha Hegde,RMZ EcoWorld
BLR/EW/01995/1,1627,Activated,Gaurav Nagaich,Rumpa Das,RMZ EcoWorld
BLR/EW/02136/2,1767,Activated,Elevar,Rumpa Das,RMZ EcoWorld
BLR/EW/01822/1,1587,Activated,Keystride,Rumpa Das,RMZ EcoWorld
BLR/EW/01956/1,1591,Activated,Howard Simanoff,Rumpa Das,RMZ EcoWorld
BLR/EW/02172/1,1784,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/01331/1,1160,Activated,True Caller International LLP,Smriti Gautam,RMZ EcoWorld
BLR/EW/01778/1,1436,Activated,Hypershift Innovation Private Limited,Raghu Ram,RMZ EcoWorld
BLR/EW/01412/1,1131,Activated,The Boston Consulting Group (India) Private Ltd,Imaad Ahmed,RMZ EcoWorld
BLR/EW/01092/2,1234,Activated,Viacom 18 Media Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/01359/1,1246,Activated,OP Technologies Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/01731/1,1361,Activated,DIGITALDOT CONSULTANCY INDIA PVT. LTD.,Rumpa Das,RMZ EcoWorld
BLR/EW/01734/1,1364,Activated,Halliburton Technology Center,Imaad Ahmed,RMZ EcoWorld
BLR/EW/01781/1,1454,Activated,Tyconz FZE,Smriti Gautam,RMZ EcoWorld
BLR/EW/01839/1,1486,Activated,Varun Mehta,Rumpa Das,RMZ EcoWorld
BLR/EW/01681/1,1326,Activated,Basant Sahoo,Rumpa Das,RMZ EcoWorld
BLR/EW/01729/1,1414,Activated,Financial Advisory,Raghu Ram,RMZ EcoWorld
BLR/EW/01444/1,1343,Activated,ALTSHIFTCAP TECHNOLOGY AND DIGITAL SERVICES PRIVATE LIMITED,Smriti Gautam,RMZ EcoWorld
BLR/EW/01686/1,1327,Activated,Softomotive,Rumpa Das,RMZ EcoWorld
BLR/EW/01723/1,1363,Activated,Secugen India Pvt Ltd,Raghu Ram,RMZ EcoWorld
BLR/EW/01857/1,1498,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/01852/1,1499,Activated,FINNABLE CREDIT PRIVATE LIMITED,Rumpa Das,RMZ EcoWorld
BLR/EW/01419/1,1380,Activated,Leadstrategus,Rumpa Das,RMZ EcoWorld
BLR/EW/01614/1,1266,Activated,State Street Corporate Services Mumbai Private Limited,Imaad Ahmed,RMZ EcoWorld
BLR/EW/01465/1,1178,Activated,Halliburton Technology Center,Imaad Ahmed,RMZ EcoWorld
BLR/EW/01538/1,1184,Activated,Wissen,Rumpa Das,RMZ EcoWorld
BLR/EW/01522/1,1199,Activated,Qdesq,Manish Narendra,RMZ EcoWorld
BLR/EW/01576/1,1270,Activated,CaterNinja Internet Food LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/01861/4,1502,Activated,SpicaWorks India Private Limited,Raksha Hegde,RMZ EcoWorld
BLR/EW/01710/1,1391,Activated,JEBPO SERVICES LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/01615/1,1267,Activated,InfraHedge Services India Pvt Ltd,Smriti Gautam,RMZ EcoWorld
BLR/EW/01759/1,1394,Activated,Shopinbox Inc.,Rumpa Das,RMZ EcoWorld
BLR/EW/01786/1,1419,Activated,Bharti Airtel Ltd,Rumpa Das,RMZ EcoWorld
BLR/EW/01626/1,1288,Activated,Wissen,Rumpa Das,RMZ EcoWorld
BLR/EW/01301/1,1230,Activated,The Boston Consulting Group (India) Private Ltd,Imaad Ahmed,RMZ EcoWorld
BLR/EW/01487/1,1222,Activated,DIGITALDOT CONSULTANCY INDIA PVT. LTD.,Rumpa Das,RMZ EcoWorld
BLR/EW/01591/1,1345,Activated,Stockal,Raghu Ram,RMZ EcoWorld
BLR/EW/00914/1,828,Activated,Newtechways,Rumpa Das,RMZ EcoWorld
BLR/EW/00787/1,741,Activated,Keystride,Rumpa Das,RMZ EcoWorld
BLR/EW/00943/1,846,Activated,SASSIST IO INDIA PRIVATE LIMITED,Smriti Gautam,RMZ EcoWorld
BLR/EW/00793/1,824,Activated,Tripexploria,Rumpa Das,RMZ EcoWorld
BLR/EW/00870/1,836,Activated,True Caller International LLP,Smriti Gautam,RMZ EcoWorld
BLR/EW/00459/1,848,Activated,Wissen,Rumpa Das,RMZ EcoWorld
BLR/EW/00475/1,737,Month on Month,Wissen,Rumpa Das,RMZ EcoWorld
BLR/EW/00980/1,857,Activated,Shopinbox Inc.,Rumpa Das,RMZ EcoWorld
BLR/EW/01012/1,871,Activated,Wissen,Rumpa Das,RMZ EcoWorld
BLR/EW/01037/1,883,Activated,Wissen,Rumpa Das,RMZ EcoWorld
BLR/EW/00843/1,782,Formal Notice Given,Agile Cockpit Software services Pvt Ltd,Smriti Gautam,RMZ EcoWorld
BLR/EW/00834/1,797,Activated,Sanctorum Management LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/00752/1,748,Activated,"Bloom, The Centre For Child Development",Rumpa Das,RMZ EcoWorld
BLR/EW/00999/1,864,Activated,Pranam Academy Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/01263/1,989,Activated,Next Link Pvt Ltd,Raghu Ram,RMZ EcoWorld
BLR/EW/01336/6,1029,Activated,AcaEx,Rumpa Das,RMZ EcoWorld
BLR/EW/01327/1,1018,Activated,LinkDigi Spaces Private Limited,Smriti Gautam,RMZ EcoWorld
BLR/EW/01329/1,1021,Activated,LinkDigi Spaces Private Limited,Smriti Gautam,RMZ EcoWorld
BLR/EW/01334/1,1023,Activated,Smart Assist,Smriti Gautam,RMZ EcoWorld
BLR/EW/01293/2,1007,Activated,Wissen,Rumpa Das,RMZ EcoWorld
BLR/EW/00435/1,791,Activated,Lithium Technologies India R&D Pvt. Ltd,Rumpa Das,RMZ EcoWorld
BLR/EW/01091/1,902,Activated,DIGITALDOT CONSULTANCY INDIA PVT. LTD.,Rumpa Das,RMZ EcoWorld
BLR/EW/01140/1,916,Activated,Tyconz FZE,Smriti Gautam,RMZ EcoWorld
BLR/EW/01045/1,890,Activated,SASSIST IO INDIA PRIVATE LIMITED,Smriti Gautam,RMZ EcoWorld
BLR/EW/01098/1,938,Activated,The Boston Consulting Group (India) Private Ltd,Imaad Ahmed,RMZ EcoWorld
BLR/EW/01203/1,983,Activated,TechEmergence,Raghu Ram,RMZ EcoWorld
BLR/EW/01093/1,1069,Activated,State Street Corporate Services Mumbai Private Limited,Imaad Ahmed,RMZ EcoWorld
BLR/EW/01355/1,1039,Activated,Ayasdi India Private Limited,Rumpa Das,RMZ EcoWorld
BLR/EW/01038/1,1046,Activated,Wissen,Rumpa Das,RMZ EcoWorld
BLR/EW/01176/1,940,Activated,SASSIST IO INDIA PRIVATE LIMITED,Smriti Gautam,RMZ EcoWorld
BLR/EW/01161/1,925,Activated,ANSTOWIN TEST PRIVATE LIMITED,Raksha Hegde,RMZ EcoWorld
BLR/EW/01204/1,1078,Activated,Bharti Airtel Ltd,Rumpa Das,RMZ EcoWorld
BLR/EW/00919/1,898,Activated,Enstoa India Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/01199/1,952,Activated,OP Technologies Pvt. Ltd.,Rumpa Das,RMZ EcoWorld
BLR/EW/00686/1,701,Activated,AB Fortune Consultants,Rumpa Das,RMZ EcoWorld
BLR/EW/01375/1,1793,Activated,AQR Capital India Services LLP,Rumpa Das,RMZ EcoWorld
BLR/EW/00687/1,675,Activated,Aicumen Innovations Private Limited,Khursheed Alem Khan,RMZ EcoWorld
BLR/EW/00683/1,667,Month on Month,Santosh Sharan,Rumpa Das,RMZ EcoWorld
BLR/EW/01304/1,1510,Activated,Lagom Labs Pvt Ltd,Smriti Gautam,RMZ EcoWorld
BLR/EW/00569/1,676,Activated,Softomotive,Rumpa Das,RMZ EcoWorld
BLR/NT/02251/1,1862,Activated,Ladera technology Pvt Ltd,Raghu Ram,RMZ NXT - Whitefield
BLR/NT/02797/1,2308,Activated,Quanted Technologies Pvt Ltd,Khursheed Alem Khan,RMZ NXT - Whitefield
BLR/NT/01386/1,1096,Month on Month,Idea Particles,Auguste Pocuinaite,RMZ NXT - Whitefield
BLR/NT/01947/1,1582,Activated,Pratibimb,Raghu Ram,RMZ NXT - Whitefield
BLR/NT/01975/1,1648,Activated,Ladera technology Pvt Ltd,Raghu Ram,RMZ NXT - Whitefield
BLR/NT/01970/1,1787,Activated,Basilroot Technologies Pvt Ltd,Smriti Gautam,RMZ NXT - Whitefield
BLR/NT/02020/1,1642,Month on Month,Adesh Krishna,Rumpa Das,RMZ NXT - Whitefield
BLR/NT/01836/1,1482,Activated,Ladera technology Pvt Ltd,Raghu Ram,RMZ NXT - Whitefield
BLR/NT/01461/1,1101,Month on Month,Green Angel Consultancy,Raghu Ram,RMZ NXT - Whitefield
BLR/NT/01583/1,1484,Activated,Ladera technology Pvt Ltd,Raghu Ram,RMZ NXT - Whitefield
BLR/NT/01264/1,1049,Month on Month,PLL Enterprise Pvt Ltd,Raghu Ram,RMZ NXT - Whitefield
BLR/NT/01101/2,899,Month on Month,Bay Leaf Digital,Rumpa Das,RMZ NXT - Whitefield
CHN/OP/02699/1,2184,Activated,Cosmic Consultancy Services Pte Ltd,Antoinette Monisha,RMZ One Paramount
CHN/OP/02612/1,2131,Activated,Cooper-Standard Automotive India Private Limited,Antoinette Monisha,RMZ One Paramount
CHN/OP/02528/1,2092,Activated,Simptra Technologies Pvt Ltd,Antoinette Monisha,RMZ One Paramount
CHN/OP/02689/1,2180,Activated,Nexxuspay Services Pvt Ltd,Antoinette Monisha,RMZ One Paramount
CHN/OP/02730/1,2196,Activated,AD Vishnu Prasad,Antoinette Monisha,RMZ One Paramount
CHN/OP/01983/1,1809,Activated,Simptra Technologies Pvt Ltd,Antoinette Monisha,RMZ One Paramount
CHN/OP/02388/1,2019,Activated,Agentz.ai,Antoinette Monisha,RMZ One Paramount
CHN/OP/02563/2,2115,Activated,Nayamsoft India Private Limited,Jithin Raj,RMZ One Paramount
CHN/OP/02295/1,1911,Activated,Federal Mogul Goetze (India) Ltd,Antoinette Monisha,RMZ One Paramount
CHN/OP/02648/1,2177,Activated,Cooper-Standard Automotive India Private Limited,Antoinette Monisha,RMZ One Paramount
CHN/OP/02838/1,2312,Activated,Deep Value Technology Pvt Ltd,Antoinette Monisha,RMZ One Paramount
CHN/OP/02986/1,2411,Activated,Peel - Works,Antoinette Monisha,RMZ One Paramount
