Proposal: Proposal Name,Contract Number,Status,Account Name,Account Owner,Centre
NCR/PT/02814/1,2268,Month on Month,Akana Technologies Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/02674/2,2339,Activated,Neuriot Technologies LLP,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02913/1,2367,Activated,NANARC TECHNOLOGIES PRIVATE LIMITED,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02958/1,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/02968/1,2402,Activated,DUNNHUMBY IT SERVICES INDIA PRIVATE LIMITED,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/03007/1,2414,Month on Month,TIA Consulting LLP,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/02073/1,1709,Activated,Naresh Jain,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01939/1,1577,Activated,Floraison India Strategic Consulting Pvt Ltd,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01904/2,1565,Activated,Addedsport India Pvt. Ltd.,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01903/1,1539,Activated,RevX Technology Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01977/1,1614,Activated,Exicon Holding Private Limited,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/02005/1,1635,Activated,Neara Madhya Energy Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02052/1,1685,Activated,TIA Consulting LLP,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/02057/1,1701,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road
NCR/PT/02012/1,1650,Formal Notice Given,Ravi Shrivastava,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/01880/1,1522,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01905/1,1552,Activated,Big Spring Services Private Limited.,Raghu Ram,CoWrks Golf Course Road
NCR/PT/02059/1,1689,Activated,Rajesh Bhatia,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02111/1,1744,Activated,ARCTERN HEALTHCARE PRIVATE LIMITED,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02072/1,1708,Formal Notice Given,Naresh Jain,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01872/1,1513,Activated,Spica Zavas Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01976/1,1604,Activated,Naina Doddamani(Vanity Wagon),Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/01896/1,1572,Activated,Shearwater Ventures Private Limited,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/02071/1,1703,Activated,Neuriot Technologies LLP,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01586/1,1239,Activated,ARCTERN HEALTHCARE PRIVATE LIMITED,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01501/1,1148,Formal Notice Given,Rashmi,Dhruv Agarwal,CoWrks Golf Course Road
NCR/PT/01676/1,1348,Month on Month,K2B Learning Private Limited,Khushboo Parakh,CoWrks Golf Course Road
NCR/PT/01659/3,1377,Activated,Razorpay Software  Private Limited,Arjun Sharma,CoWrks Golf Course Road
