Inventory: Name,Floor,Status,No of Units,Exterior,Exterior Patio,Interior,Centre: Name,Unit Type
BLR/IN/FD/05/0001,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0002,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0003,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0004,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/DD/00/001,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/002,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/003,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/004,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/005,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/006,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/007,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/008,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/009,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/010,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/011,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/DD/00/012,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/FD/05/0005,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0006,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0007,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0008,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0009,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0010,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0011,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0012,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0013,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0014,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0015,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0016,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0017,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0018,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0019,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/IN/FD/05/0020,05,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Desk
BLR/INF/FC/00/002,00,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Chair
BLR/INF/FC/00/001,00,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Chair
MUM/BC/PS/03/039a,03,,38,Yes,,No,CoWrks Worli,Private Studio
MUM/BC/PS/03/039b,03,,4,No,,No,CoWrks Worli,Private Studio
CHN/OP/PS/00/011b,00,,4,No,No,Yes,RMZ One Paramount,Private Studio
CHN/OP/PS/00/011a,00,,4,No,No,Yes,RMZ One Paramount,Private Studio
CHN/MN/PS/60,,,20,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/01,,,14,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/02,,,14,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/03,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/04,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/05,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/06,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/07,,,30,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/08,,,24,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/09,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/10,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/11,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/12,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/13,,,12,Yes,,No,CoWrks OMR,Private Studio
BLR/EW/FC/00/001,00,,1,No,No,Yes,CoWrks New Indiranagar,Flexible Chair
Community Lounge,N/A,,1,,,,CoWrks New Indiranagar,Lounge
Community Lounge - 4,N/A,N/A,1,,,,CoWrks New Indiranagar,Lounge
Community Lounge - 3,N/A,N/A,1,,,,CoWrks New Indiranagar,Lounge
Community Lounge - 2,N/A,N/A,1,,,,CoWrks New Indiranagar,Lounge
Community Lounge - 5,N/A,N/A,1,,,,CoWrks New Indiranagar,Lounge
Community Lounge - 1,N/A,N/A,1,,,,CoWrks New Indiranagar,Lounge
Virtual Office - 01,N/A,N/A,1,,,,CoWrks New Indiranagar,Lounge+
Virtual Office - 01,N/A,N/A,1,,,,CoWrks New Indiranagar,Lounge+
Day Pass,N/A,N/A,1,,,,CoWrks New Indiranagar,Day Pass
Day Pass,N/A,N/A,1,,,,CoWrks New Indiranagar,Day Pass
BLR/INF/5F-CP/119,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/105,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/095,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/120,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/114,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/122,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/106,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/111,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/094,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/121,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/112,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/108,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/110,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/109,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/107,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/113,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/118,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/093,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/092,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-CP/091,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-58,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFBP/D-05,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFBP/D-06,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFBP/D-07,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFBP/D-08,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFBP/E-17,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFBP/E-17(17A),N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFBP/E-17(17B),N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFBP/E-17(17C),N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFBP/E-17(17D),N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFSP/T10-31,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFSP/T10-32,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFSP/T10-33,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFSP/T10-34,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFSP/T10-35,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFSP/T10-36,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFSP/T10-37,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFSP/T10-38,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFSP/T10-39,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-59,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-60,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-62,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-63,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-64,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-65,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-66,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-82,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-83,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-90,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-91,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-92,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-93,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-94,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-95,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-96,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-97,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-98,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/5F-BP/B-99,N/A,N/A,1,,,,CoWrks New Indiranagar,Car Parking
BLR/INF/GFBP/D-09.2,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-09.3,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-09.4,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-09.5,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-09.6,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-10.1,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-10.2,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-10.3,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-10.4,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-10.5,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-10.6,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/GFBP/D-09.1,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-22.1,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-22.2,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-22.3,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-22.4,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-23.1,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-23.2,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-23.3,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-23.4,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-24.1,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-24.2,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-24.3,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-24.4,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-25.1,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-25.2,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-25.3,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
BLR/INF/5F-BP/B-25.4,N/A,N/A,1,,,,CoWrks New Indiranagar,Bike Parking
Telephony,N/A,N/A,1,,,,CoWrks New Indiranagar,Telephony
Telephony,N/A,N/A,1,,,,CoWrks New Indiranagar,Telephony
Mail and Package Handling,N/A,N/A,1,,,,CoWrks New Indiranagar,Mail and Package Handling
Virtual Receptionist,N/A,N/A,1,,,,CoWrks New Indiranagar,Virtual Receptionist
Virtual Receptionist,N/A,N/A,1,,,,CoWrks New Indiranagar,Virtual Receptionist
External Signage,N/A,,1,,,,CoWrks New Indiranagar,External Signage
External Signage,N/A,,1,,,,CoWrks New Indiranagar,External Signage
BLR/IN/00/ES GF IN,N/A,N/A,1,,,,CoWrks New Indiranagar,Event Space
BLR/IN/00/ES GF OUT,N/A,N/A,1,,,,CoWrks New Indiranagar,Event Space
BLR/IN/00/ES 5F,N/A,N/A,1,,,,CoWrks New Indiranagar,Event Space
BLR/IN/VO/00/006,N/A,,1,,,,CoWrks New Indiranagar,Virtual Office
BLR/IN/VO/00/002,N/A,,1,,,,CoWrks New Indiranagar,Virtual Office
BLR/IN/VO/00/001,N/A,,1,,,,CoWrks New Indiranagar,Virtual Office
BLR/IN/VO/00/007,N/A,,1,,,,CoWrks New Indiranagar,Virtual Office
BLR/IN/VO/00/004,N/A,,1,,,,CoWrks New Indiranagar,Virtual Office
BLR/IN/VO/00/008,N/A,,1,,,,CoWrks New Indiranagar,Virtual Office
BLR/IN/VO/00/003,N/A,,1,,,,CoWrks New Indiranagar,Virtual Office
BLR/IN/VO/00/010,N/A,,1,,,,CoWrks New Indiranagar,Virtual Office
BLR/IN/VO/00/005,N/A,,1,,,,CoWrks New Indiranagar,Virtual Office
BLR/IN/VO/00/009,N/A,,1,,,,CoWrks New Indiranagar,Virtual Office
CHN/MN/PS/14,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/15,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/16,,,33,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/17,,,8,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/18,,,6,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/19,,,7,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/20,,,6,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/21,,,7,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/22,,,6,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/24,,,10,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/34,,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/26,,,10,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/27,,,3,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/28,,,10,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/29,,,10,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/30,,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/31,,,9,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/32,,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/33,,,9,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/25,,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/35,,,9,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/36,,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/37,,,10,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/02/023,02,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/38,,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/39,,,6,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/40,,,8,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/41,,,6,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/42,,,7,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/43,,,10,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/44,,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/45,,,10,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/46,,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/47,,,8,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/48,,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/49,,,10,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/50,,,4,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/51,,,21,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/52,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/53,,,10,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/54,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/55,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/56,,,11,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/57,,,12,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/PS/58,,,3,No,,Yes,CoWrks OMR,Private Studio
CHN/MN/PS/59,,,18,Yes,,No,CoWrks OMR,Private Studio
CHN/MN/DD/01,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/02,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/03,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/04,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/05,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/06,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/07,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/08,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/09,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/10,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/11,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/12,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/13,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/14,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/15,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/16,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/17,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/18,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/19,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/20,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/21,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/22,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/23,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/24,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/25,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/26,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/27,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/28,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/29,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/30,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/31,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/32,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/33,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/34,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/35,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/36,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/37,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/38,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/39,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/40,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/41,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/42,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/43,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/44,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
CHN/MN/DD/45,,,1,No,,Yes,CoWrks OMR,Dedicated Desk
NCR/PT/PSDD/00/063,00,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/PSDD/00/067,00,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/PSDD/00/068,00,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/PSDD/00/072,00,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/PSDD/00/071,00,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/PSDD/00/070,00,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/PSDD/00/069,00,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/PSDD/00/065,00,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/PSDD/00/066,00,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/PSDD/00/064,00,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
BLR/IN/PSDD/00/027,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/PSDD/00/021,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/PSDD/00/024,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
BLR/IN/PSDD/00/023,00,,1,No,No,Yes,CoWrks New Indiranagar,Dedicated Desk
CHN/MN/CP/4BFF/034,N/A,N/A,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/4BFF/018,N/A,N/A,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/011,N/A,N/A,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/4BFF/035,N/A,N/A,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/4BFF/019,N/A,N/A,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/4BFF/037,N/A,N/A,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/4BFF/017,N/A,N/A,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/001,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/002,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/003,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/004,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/005,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/006,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/007,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/008,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/009,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/010,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/011,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/012,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/013,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/014,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/015,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/016,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/023,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/024,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/025,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/026,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/027,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/028,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/029,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/030,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/031,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/032,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/033,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/034,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/035,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/036,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/037,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/038,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/039,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/040,N/A,,1,,,,CoWrks OMR,Car Parking
CHN/MN/CP/FF/041,N/A,,1,,,,CoWrks OMR,Car Parking
