Inventory: Name,Floor,Status,No of Units,Exterior,Exterior Patio,Interior,Centre: Name,Unit Type
NCR/AC/DD/01/009,01,Booked (Locked In),1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/010,01,Booked (Locked In),1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/011,01,Booked (Locked In),1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/012,01,Booked (Locked In),1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/013,01,Booked (Locked In),1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/014,01,Booked (Locked In),1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/015,01,Booked (Locked In),1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/016,01,Booked (Locked In),1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/017,01,Available,1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/018,01,Available,1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/019,01,Available,1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/020,01,Available,1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/021,01,Available,1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/022,01,Available,1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/023,01,Available,1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/024,01,Available,1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/DD/01/025,01,Available,1,0,,1,CoWrks Aerocity,Dedicated Desk
NCR/AC/CL/00/001,00,Booked (Locked In),1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/002,00,Blocked,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/003,00,Blocked,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/004,00,Blocked,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/005,00,Blocked,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/029,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/030,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/031,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/032,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/033,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/034,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/035,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/036,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/037,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/038,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/006,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/007,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/008,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/009,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/010,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/011,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/012,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/013,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/014,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/015,00,Available,1,0,,1,CoWrks Aerocity,Lounge
NCR/AC/CL/00/016,00,Available,1,0,,1,CoWrks Aerocity,Lounge
