Proposal Name,Name,Unit Type,No of Desks,Centre: Name
BLR/IN/01377/1,BLR/IN/PS/05/036,Private Studio,70,CoWrks New Indiranagar
BLR/IN/01377/1,BLR/IN/PS/05/037,Private Studio,70,CoWrks New Indiranagar
BLR/IN/01377/1,BLR/IN/PS/05/038,Private Studio,70,CoWrks New Indiranagar
BLR/IN/01377/1,BLR/IN/PS/05/052,Private Studio,70,CoWrks New Indiranagar
BLR/IN/01377/1,BLR/IN/PS/05/062,Private Studio,70,CoWrks New Indiranagar
BLR/IN/01380/1,BLR/IN/DD/5B/005,Dedicated Desk,1,CoWrks New Indiranagar
BLR/IN/01381/1,BLR/IN/DD/5B/008,Dedicated Desk,2,CoWrks New Indiranagar
BLR/IN/01381/1,BLR/IN/DD/5B/009,Dedicated Desk,2,CoWrks New Indiranagar
BLR/IN/01299/1,BLR/IN/PS/05/045,Private Studio,100,CoWrks New Indiranagar
BLR/IN/01397/1,BLR/IN/DD/5B/0015,Dedicated Desk,1,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/033,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/034,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/035,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/036,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/037,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/038,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/045,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/050,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/051,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/052,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/053,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/055,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/059,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/060,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/061,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01403/1,BLR/IN/PS/05/062,Private Studio,137,CoWrks New Indiranagar
BLR/IN/01350/1,BLR/IN/PS/00/011,Private Studio,6,CoWrks New Indiranagar
BLR/IN/01121/1,BLR/INF/5F-BP/B-64,Car Parking,19,CoWrks New Indiranagar
BLR/IN/01667/1,BLR/IN/DD/00/011,Dedicated Desk,1,CoWrks New Indiranagar
BLR/IN/01350/1,BLR/INF/GFBP/D-10.4,Bike Parking,6,CoWrks New Indiranagar
BLR/IN/01408/1,BLR/IN/PS/00/012,Private Studio,6,CoWrks New Indiranagar
BLR/IN/01364/1,BLR/IN/DD/5B/0030,Dedicated Desk,4,CoWrks New Indiranagar
BLR/IN/01364/1,BLR/IN/DD/5B/0031,Dedicated Desk,4,CoWrks New Indiranagar
BLR/IN/01364/1,BLR/IN/DD/5B/0032,Dedicated Desk,4,CoWrks New Indiranagar
BLR/IN/01364/1,BLR/IN/DD/5B/0033,Dedicated Desk,4,CoWrks New Indiranagar
BLR/IN/01427/1,BLR/IN/FD/05/0015,Flexible Desk,1,CoWrks New Indiranagar
BLR/IN/01446/1,BLR/IN/FD/05/0020,Flexible Desk,10,CoWrks New Indiranagar
BLR/IN/01446/1,BLR/IN/FD/05/0021,Flexible Desk,10,CoWrks New Indiranagar
BLR/IN/01446/1,BLR/IN/FD/05/0022,Flexible Desk,10,CoWrks New Indiranagar
BLR/IN/01446/1,BLR/IN/FD/05/0023,Flexible Desk,10,CoWrks New Indiranagar
BLR/IN/01446/1,BLR/IN/FD/05/0024,Flexible Desk,10,CoWrks New Indiranagar
BLR/IN/01446/1,BLR/IN/FD/05/0025,Flexible Desk,10,CoWrks New Indiranagar
BLR/IN/01446/1,BLR/IN/FD/05/0026,Flexible Desk,10,CoWrks New Indiranagar
BLR/IN/01446/1,BLR/IN/FD/05/0027,Flexible Desk,10,CoWrks New Indiranagar
BLR/IN/01446/1,BLR/IN/FD/05/0028,Flexible Desk,10,CoWrks New Indiranagar
BLR/IN/01446/1,BLR/IN/FD/05/0029,Flexible Desk,10,CoWrks New Indiranagar
BLR/IN/01311/1,BLR/IN/PS/05/016,Private Studio,3,CoWrks New Indiranagar
BLR/IN/01470/1,BLR/IN/DD/5B/0040,Dedicated Desk,2,CoWrks New Indiranagar
BLR/IN/01470/1,BLR/IN/DD/5B/0041,Dedicated Desk,2,CoWrks New Indiranagar
BLR/IN/01323/1,BLR/IN/PS/05/010,Private Studio,9,CoWrks New Indiranagar
BLR/IN/01323/1,BLR/IN/DD/5B/004,Dedicated Desk,9,CoWrks New Indiranagar
BLR/IN/01323/1,Telephony,Telephony,9,CoWrks New Indiranagar
BLR/IN/01503/1,BLR/IN/FD/05/0016,Flexible Desk,1,CoWrks New Indiranagar
BLR/IN/00960/1,BLR/IN/PS/05/059,Private Studio,4,CoWrks New Indiranagar
BLR/IN/01510/1,BLR/IN/PS/05/060,Private Studio,1,CoWrks New Indiranagar
BLR/IN/01502/1,BLR/IN/FD/05/0016,Flexible Desk,2,CoWrks New Indiranagar
BLR/IN/01502/1,BLR/IN/FD/05/0019,Flexible Desk,2,CoWrks New Indiranagar
BLR/IN/01508/1,BLR/IN/FD/05/0019,Flexible Desk,1,CoWrks New Indiranagar
BLR/IN/01505/1,BLR/IN/PS/05/006,Private Studio,5,CoWrks New Indiranagar
BLR/IN/01518/1,BLR/IN/DD/00/006,Dedicated Desk,1,CoWrks New Indiranagar
BLR/IN/01519/1,BLR/IN/FD/05/0004,Flexible Desk,6,CoWrks New Indiranagar
BLR/IN/01519/1,BLR/IN/FD/05/0005,Flexible Desk,6,CoWrks New Indiranagar
BLR/IN/01519/1,BLR/IN/FD/05/0006,Flexible Desk,6,CoWrks New Indiranagar
BLR/IN/01519/1,BLR/IN/FD/05/0007,Flexible Desk,6,CoWrks New Indiranagar
BLR/IN/01519/1,BLR/IN/FD/05/0008,Flexible Desk,6,CoWrks New Indiranagar
BLR/IN/01519/1,BLR/IN/FD/05/0009,Flexible Desk,6,CoWrks New Indiranagar
BLR/IN/01450/1,BLR/IN/PS/05/053,Private Studio,31,CoWrks New Indiranagar
BLR/IN/01530/1,BLR/IN/PS/05/009,Private Studio,18,CoWrks New Indiranagar
BLR/IN/01530/1,BLR/IN/PS/05/020,Private Studio,18,CoWrks New Indiranagar
BLR/IN/01530/1,BLR/IN/PS/05/021,Private Studio,18,CoWrks New Indiranagar
BLR/IN/01535/1,BLR/IN/DD/00/015,Dedicated Desk,1,CoWrks New Indiranagar
BLR/IN/01543/1,BLR/IN/VO/00/002,Virtual Office,0,CoWrks New Indiranagar
BLR/IN/01542/1,BLR/IN/VO/00/001,Virtual Office,0,CoWrks New Indiranagar
BLR/IN/01544/1,BLR/IN/VO/00/003,Virtual Office,0,CoWrks New Indiranagar
BLR/IN/01551/1,BLR/IN/PS/05/061,Private Studio,8,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/INF/5F-BP/B-22.3,Bike Parking,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/INF/5F-BP/B-25.2,Bike Parking,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/INF/5F-BP/B-65,Car Parking,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/IN/PS/05/020,Private Studio,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/IN/PS/05/032,Private Studio,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/IN/PS/05/045,Private Studio,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/IN/PS/05/050,Private Studio,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/IN/PS/05/051,Private Studio,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/IN/PS/05/052,Private Studio,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/IN/PS/05/053,Private Studio,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/IN/PS/05/061,Private Studio,100,CoWrks New Indiranagar
BLR/IN/01557/1,BLR/IN/PS/05/062,Private Studio,100,CoWrks New Indiranagar
BLR/IN/01569/1,BLR/IN/VO/00/004,Virtual Office,0,CoWrks New Indiranagar
BLR/IN/00515/4,BLR/IN/PS/05/040,Private Studio,89,CoWrks New Indiranagar
BLR/IN/00515/4,BLR/IN/PS/05/041,Private Studio,89,CoWrks New Indiranagar
BLR/IN/00515/4,BLR/IN/PS/05/042,Private Studio,89,CoWrks New Indiranagar
BLR/IN/00515/4,BLR/IN/PS/05/043,Private Studio,89,CoWrks New Indiranagar
BLR/IN/00515/4,BLR/IN/PS/05/044,Private Studio,89,CoWrks New Indiranagar
BLR/IN/00696/1,BLR/IN/PS/00/001,Private Studio,8,CoWrks New Indiranagar
BLR/IN/00699/1,BLR/IN/PS/00/001,Private Studio,28,CoWrks New Indiranagar
BLR/IN/00699/1,BLR/IN/PS/00/002,Private Studio,28,CoWrks New Indiranagar
BLR/IN/00699/1,BLR/IN/PS/00/009,Private Studio,28,CoWrks New Indiranagar
BLR/IN/00591/3,BLR/IN/PS/05/033,Private Studio,39,CoWrks New Indiranagar
BLR/IN/00591/3,BLR/IN/PS/05/034,Private Studio,39,CoWrks New Indiranagar
BLR/IN/00591/3,BLR/IN/PS/05/055,Private Studio,39,CoWrks New Indiranagar
BLR/IN/00591/3,BLR/IN/PS/05/056,Private Studio,39,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/001,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/010,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/011,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/012,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/013,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/014,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/015,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/017,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/018,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/002,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/021,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/022,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/023,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/025,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/028,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/029,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/031,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00718/1,BLR/IN/PS/05/032,Private Studio,150,CoWrks New Indiranagar
BLR/IN/00722/1,BLR/IN/PS/00/001,Private Studio,31,CoWrks New Indiranagar
BLR/IN/00722/1,BLR/IN/PS/00/002,Private Studio,31,CoWrks New Indiranagar
BLR/IN/00722/1,BLR/IN/PS/00/006,Private Studio,31,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/006,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/007,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/008,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/009,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00986/1,BLR/IN/DD/00/001,Dedicated Desk,4,CoWrks New Indiranagar
BLR/IN/00986/1,BLR/IN/DD/00/002,Dedicated Desk,4,CoWrks New Indiranagar
BLR/IN/00986/1,BLR/IN/DD/00/007,Dedicated Desk,4,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/PS/05/060,Private Studio,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/001,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0010,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0011,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0012,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0013,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0014,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0015,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0016,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0017,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0018,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0019,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/002,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0020,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0021,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0022,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0023,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0024,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0025,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0026,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0027,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0028,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0029,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/003,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0030,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0031,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0032,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0033,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0034,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0035,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0036,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0037,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0038,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0039,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/004,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0040,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0041,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/0042,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00713/4,BLR/IN/DD/5B/005,Dedicated Desk,46,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/015,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/016,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/017,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/018,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/019,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/020,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/021,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/022,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/023,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/024,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/025,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/026,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/027,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/2,BLR/IN/PS/05/028,Private Studio,105,CoWrks New Indiranagar
BLR/IN/00727/1,BLR/IN/PS/05/023,Private Studio,55,CoWrks New Indiranagar
BLR/IN/00727/1,BLR/IN/PS/05/025,Private Studio,55,CoWrks New Indiranagar
BLR/IN/00727/1,BLR/IN/PS/05/028,Private Studio,55,CoWrks New Indiranagar
BLR/IN/00727/1,BLR/IN/PS/05/032,Private Studio,55,CoWrks New Indiranagar
BLR/IN/00728/1,BLR/IN/PS/00/006,Private Studio,15,CoWrks New Indiranagar
BLR/IN/00539/3,BLR/IN/PS/05/022,Private Studio,81,CoWrks New Indiranagar
BLR/IN/00539/3,BLR/IN/PS/05/023,Private Studio,81,CoWrks New Indiranagar
BLR/IN/00539/3,BLR/IN/PS/05/024,Private Studio,81,CoWrks New Indiranagar
BLR/IN/00539/3,BLR/IN/PS/05/025,Private Studio,81,CoWrks New Indiranagar
BLR/IN/00539/3,BLR/IN/PS/05/028,Private Studio,81,CoWrks New Indiranagar
BLR/IN/00539/3,BLR/IN/PS/05/031,Private Studio,81,CoWrks New Indiranagar
BLR/IN/00539/3,BLR/IN/PS/05/032,Private Studio,81,CoWrks New Indiranagar
BLR/IN/00759/1,BLR/IN/PS/05/019,Private Studio,23,CoWrks New Indiranagar
BLR/IN/00759/1,BLR/IN/PS/05/023,Private Studio,23,CoWrks New Indiranagar
BLR/IN/00759/1,BLR/IN/PS/05/025,Private Studio,23,CoWrks New Indiranagar
BLR/IN/01025/1,BLR/INF/5F-BP/B-22.4,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/01025/1,BLR/INF/5F-BP/B-23.1,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/01025/1,BLR/INF/5F-BP/B-23.2,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/00889/1,BLR/INF/5F-BP/B-58,Car Parking,4,CoWrks New Indiranagar
BLR/IN/00515/4,BLR/IN/PS/05/049,Private Studio,89,CoWrks New Indiranagar
BLR/IN/00515/4,BLR/IN/PS/05/047,Private Studio,89,CoWrks New Indiranagar
BLR/IN/00515/4,BLR/IN/PS/05/046,Private Studio,89,CoWrks New Indiranagar
BLR/IN/00515/4,BLR/IN/PS/05/039,Private Studio,89,CoWrks New Indiranagar
BLR/IN/00766/1,Community Lounge,Lounge,2,CoWrks New Indiranagar
BLR/IN/00768/1,BLR/IN/PS/00/007,Private Studio,12,CoWrks New Indiranagar
BLR/IN/00768/1,BLR/IN/PS/00/011,Private Studio,12,CoWrks New Indiranagar
BLR/IN/00767/1,BLR/IN/DD/00/011,Dedicated Desk,2,CoWrks New Indiranagar
BLR/IN/00767/1,BLR/IN/DD/00/012,Dedicated Desk,2,CoWrks New Indiranagar
BLR/IN/00762/1,BLR/IN/DD/00/008,Dedicated Desk,1,CoWrks New Indiranagar
BLR/IN/00771/1,BLR/IN/FD/05/0012,Flexible Desk,1,CoWrks New Indiranagar
BLR/IN/00742/1,Community Lounge,Lounge,1,CoWrks New Indiranagar
BLR/IN/00721/3,BLR/IN/DD/00/011,Dedicated Desk,1,CoWrks New Indiranagar
BLR/IN/00391/1,BLR/IN/PS/00/006,Private Studio,15,CoWrks New Indiranagar
BLR/IN/00918/1,BLR/IN/PS/00/002,Private Studio,8,CoWrks New Indiranagar
BLR/IN/01308/1,BLR/INF/GFBP/D-09.1,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/01308/1,BLR/INF/GFBP/D-09.2,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/01308/1,BLR/INF/GFBP/D-09.3,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/01308/1,BLR/INF/GFBP/D-09.4,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/01308/1,BLR/INF/GFBP/D-09.5,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/01308/1,BLR/INF/GFBP/D-09.6,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/01308/1,BLR/INF/GFBP/D-10.1,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/01308/1,BLR/INF/GFBP/D-10.2,Bike Parking,0,CoWrks New Indiranagar
BLR/IN/00917/2,BLR/IN/DD/5B/0010,Dedicated Desk,6,CoWrks New Indiranagar
BLR/IN/00917/2,BLR/IN/DD/5B/0011,Dedicated Desk,6,CoWrks New Indiranagar
BLR/IN/01209/1,BLR/IN/DD/5B/007,Dedicated Desk,1,CoWrks New Indiranagar
BLR/IN/00777/1,Virtual Office - 01,Lounge+,1,CoWrks New Indiranagar
BLR/IN/00702/3,BLR/IN/DD/00/011,Dedicated Desk,2,CoWrks New Indiranagar
BLR/IN/00702/3,BLR/IN/DD/00/012,Dedicated Desk,2,CoWrks New Indiranagar
BLR/IN/00589/2,BLR/IN/PS/05/023,Private Studio,28,CoWrks New Indiranagar
BLR/IN/00589/2,BLR/IN/PS/05/025,Private Studio,28,CoWrks New Indiranagar
BLR/IN/00589/2,BLR/IN/PS/05/004,Private Studio,28,CoWrks New Indiranagar
BLR/IN/00589/2,BLR/IN/PS/05/005,Private Studio,28,CoWrks New Indiranagar
BLR/IN/01041/1,BLR/IN/DD/5B/0017,Dedicated Desk,2,CoWrks New Indiranagar
BLR/IN/01041/1,BLR/IN/DD/5B/004,Dedicated Desk,2,CoWrks New Indiranagar
BLR/IN/01003/2,BLR/IN/PS/00/006,Private Studio,15,CoWrks New Indiranagar
BLR/IN/00613/1,BLR/IN/PS/00/001,Private Studio,39,CoWrks New Indiranagar
BLR/IN/00613/1,BLR/IN/PS/00/002,Private Studio,39,CoWrks New Indiranagar
BLR/IN/00613/1,BLR/IN/PS/00/003,Private Studio,39,CoWrks New Indiranagar
BLR/IN/00392/1,BLR/IN/PS/00/001,Private Studio,8,CoWrks New Indiranagar
BLR/IN/00515/3,Telephony,Telephony,68,CoWrks New Indiranagar
BLR/IN/01185/1,BLR/IN/PS/05/006,Private Studio,31,CoWrks New Indiranagar
BLR/IN/01185/1,BLR/IN/PS/05/008,Private Studio,31,CoWrks New Indiranagar
BLR/IN/01185/1,BLR/IN/PS/05/009,Private Studio,31,CoWrks New Indiranagar
BLR/IN/01185/1,BLR/IN/PS/05/016,Private Studio,31,CoWrks New Indiranagar
BLR/IN/01185/1,BLR/IN/PS/05/020,Private Studio,31,CoWrks New Indiranagar
BLR/IN/01185/1,BLR/IN/PS/05/021,Private Studio,31,CoWrks New Indiranagar
BLR/IN/00677/1,BLR/IN/PS/05/032,Private Studio,35,CoWrks New Indiranagar
BLR/IN/00677/1,BLR/IN/PS/05/028,Private Studio,35,CoWrks New Indiranagar
BLR/IN/00778/1,BLR/IN/DD/00/018,Dedicated Desk,1,CoWrks New Indiranagar
BLR/IN/00922/1,BLR/IN/PS/05/014,Private Studio,6,CoWrks New Indiranagar
BLR/IN/00922/1,BLR/IN/FD/05/0015,Flexible Desk,6,CoWrks New Indiranagar
BLR/IN/00922/1,BLR/IN/FD/05/0016,Flexible Desk,6,CoWrks New Indiranagar
BLR/IN/00650/2,BLR/INF/5F-BP/B-83,Car Parking,6,CoWrks New Indiranagar
BLR/IN/00922/1,BLR/INF/5F-BP/B-83,Car Parking,6,CoWrks New Indiranagar
BLR/IN/00589/1,BLR/IN/PS/05/023,Private Studio,20,CoWrks New Indiranagar
BLR/IN/00589/1,BLR/IN/PS/05/025,Private Studio,20,CoWrks New Indiranagar
BLR/IN/00288/2,Community Lounge,Lounge,1,CoWrks New Indiranagar
BLR/IN/00297/1,Community Lounge,Lounge,1,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/INF/5F-BP/B-22.1,Bike Parking,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/INF/5F-BP/B-59,Car Parking,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/007,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/008,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/001,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/010,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/011,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/012,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/013,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/014,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/015,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/016,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/017,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/018,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/019,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/002,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/020,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/021,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/023,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/024,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/025,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/026,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/027,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/028,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00298/1,BLR/IN/PS/05/030,Private Studio,151,CoWrks New Indiranagar
BLR/IN/00986/1,BLR/IN/DD/00/008,Dedicated Desk,4,CoWrks New Indiranagar
BLR/IN/00300/1,BLR/IN/FD/05/0001,Flexible Desk,20,CoWrks New Indiranagar
