Proposal Name,Name,Unit Type,No of Desks,Centre: Name
NCR/AC/02393/1,NCR/AC/PS/01/011,Private Studio,72,CoWrks Aerocity
NCR/AC/02393/1,NCR/AC/PS/01/011,Private Studio,72,CoWrks Aerocity
NCR/AC/02461/1,NCR/AC/PS/01/048,Private Studio,4,CoWrks Aerocity
NCR/AC/02461/2,NCR/AC/PS/01/058,Private Studio,5,CoWrks Aerocity
NCR/AC/02483/1,NCR/AC/DD/01/001,Dedicated Desk,1,CoWrks Aerocity
NCR/AC/02486/1,NCR/AC/PS/00/005,Private Studio,8,CoWrks Aerocity
NCR/AC/03078/1,NCR/AC/PS/01/016,Private Studio,85,CoWrks Aerocity
NCR/AC/03078/1,NCR/AC/PS/01/017,Private Studio,85,CoWrks Aerocity
NCR/AC/02927/1,NCR/AC/CL/00/001,Lounge,3,CoWrks Aerocity
NCR/AC/02927/1,NCR/AC/CL/00/002,Lounge,3,CoWrks Aerocity
NCR/AC/02927/1,NCR/AC/CL/00/003,Lounge,3,CoWrks Aerocity
NCR/AC/02531/1,NCR/AC/PS/01/039,Private Studio,10,CoWrks Aerocity
NCR/AC/02531/1,NCR/AC/PS/01/050,Private Studio,10,CoWrks Aerocity
NCR/AC/03092/1,NCR/AC/PS/01/052,Private Studio,1,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/002,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/003,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/004,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/005,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/006,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/007,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02770/1,NCR/AC/DD/01/008,Dedicated Desk,7,CoWrks Aerocity
NCR/AC/02772/1,NCR/AC/DD/01/009,Dedicated Desk,3,CoWrks Aerocity
NCR/AC/02772/1,NCR/AC/DD/01/010,Dedicated Desk,3,CoWrks Aerocity
NCR/AC/02772/1,NCR/AC/DD/01/011,Dedicated Desk,3,CoWrks Aerocity
NCR/AC/02829/1,NCR/AC/CL/00/003,Lounge,1,CoWrks Aerocity
NCR/AC/02863/1,NCR/AC/PS/00/009,Private Studio,3,CoWrks Aerocity
NCR/AC/03146/1,NCR/AC/CL/00/001,Lounge,1,CoWrks Aerocity
NCR/AC/03153/1,NCR/AC/PS/00/001,Private Studio,27,CoWrks Aerocity
NCR/AC/03154/1,NCR/AC/PS/00/007,Private Studio,3,CoWrks Aerocity
NCR/AC/03154/2,NCR/AC/PS/01/037,Private Studio,3,CoWrks Aerocity
NCR/AC/03154/2,NCR/AC/PS/01/041,Private Studio,3,CoWrks Aerocity
NCR/AC/03162/1,NCR/AC/PS/01/050,Private Studio,6,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/001,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/002,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/003,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/004,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/005,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/006,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/007,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/008,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/009,Private Studio,126,CoWrks Aerocity
NCR/AC/02832/1,NCR/AC/PS/00/010,Private Studio,126,CoWrks Aerocity
NCR/AC/02845/1,NCR/AC/PS/01/024,Private Studio,24,CoWrks Aerocity
NCR/AC/03177/1,NCR/AC/PS/01/055,Private Studio,1,CoWrks Aerocity
NCR/AC/03144/1,NCR/AC/VO/00/001,Virtual Office,0,CoWrks Aerocity
NCR/AC/03180/1,NCR/AC/CL/00/002,Lounge,2,CoWrks Aerocity
NCR/AC/03180/1,NCR/AC/CL/00/003,Lounge,2,CoWrks Aerocity
NCR/AC/03182/1,NCR/AC/PS/01/023,Private Studio,11,CoWrks Aerocity
NCR/AC/03155/1,NCR/AC/CL/00/004,Lounge,2,CoWrks Aerocity
NCR/AC/03155/1,NCR/AC/CL/00/005,Lounge,2,CoWrks Aerocity
NCR/AC/03094/2,NCR/AC/PS/01/030,Private Studio,2,CoWrks Aerocity
NCR/PT/01788/1,NCR/PT/PS/01/016,Private Studio,20,CoWrks Golf Course Road
NCR/PT/01788/1,NCR/PT/PS/01/017,Private Studio,20,CoWrks Golf Course Road
NCR/PT/01787/1,NCR/PT/PS/01/014,Private Studio,20,CoWrks Golf Course Road
NCR/PT/01787/1,NCR/PT/PS/01/015,Private Studio,20,CoWrks Golf Course Road
NCR/PT/01524/1,NCR/PT/DD/01/015,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/01818/1,NCR/PT/PS/01/023,Private Studio,4,CoWrks Golf Course Road
NCR/PT/01826/1,NCR/PT/PS/02/055,Private Studio,4,CoWrks Golf Course Road
NCR/PT/01829/1,NCR/PT/DD/02/053,Dedicated Desk,3,CoWrks Golf Course Road
NCR/PT/01829/1,NCR/PT/DD/02/056,Dedicated Desk,3,CoWrks Golf Course Road
NCR/PT/01829/1,NCR/PT/DD/02/057,Dedicated Desk,3,CoWrks Golf Course Road
NCR/PT/01831/1,NCR/PT/PS/01/021,Private Studio,10,CoWrks Golf Course Road
NCR/PT/01832/1,NCR/PT/PS/01/040,Private Studio,21,CoWrks Golf Course Road
NCR/PT/02111/1,NCR/PT/CP/00/020,Car Parking,0,CoWrks Golf Course Road
NCR/PT/01849/1,NCR/PT/DD/01/013,Dedicated Desk,2,CoWrks Golf Course Road
NCR/PT/01849/1,NCR/PT/DD/01/014,Dedicated Desk,2,CoWrks Golf Course Road
NCR/PT/02086/4,Telephony,Telephony,0,CoWrks Golf Course Road
NCR/PT/01872/1,NCR/PT/PS/02/056,Private Studio,8,CoWrks Golf Course Road
NCR/PT/01872/1,NCR/PT/PS/02/058,Private Studio,8,CoWrks Golf Course Road
NCR/PT/01872/1,NCR/PT/CP/00/009,Car Parking,8,CoWrks Golf Course Road
NCR/PT/01872/1,NCR/PT/CP/00/010,Car Parking,8,CoWrks Golf Course Road
NCR/PT/01973/1,NCR/PT/FD/00/021,Flexible Desk,1,CoWrks Golf Course Road
NCR/PT/01880/1,NCR/PT/DD/01/012,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/01989/1,NCR/PT/DD/02/051,Dedicated Desk,2,CoWrks Golf Course Road
NCR/PT/01989/1,NCR/PT/DD/02/052,Dedicated Desk,2,CoWrks Golf Course Road
NCR/PT/01799/1,NCR/PT/PS/02/053,Private Studio,3,CoWrks Golf Course Road
NCR/PT/01903/1,NCR/PT/DD/01/021,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/01904/2,NCR/PT/PS/01/026,Private Studio,3,CoWrks Golf Course Road
NCR/PT/01905/1,NCR/PT/PS/00/006,Private Studio,4,CoWrks Golf Course Road
NCR/PT/01912/1,NCR/PT/PS/02/054,Private Studio,14,CoWrks Golf Course Road
NCR/PT/01912/1,NCR/PT/PS/02/055,Private Studio,14,CoWrks Golf Course Road
NCR/PT/01896/1,NCR/PT/PS/02/053,Private Studio,3,CoWrks Golf Course Road
NCR/PT/02008/1,NCR/PT/VO/00/002,Virtual Office,0,CoWrks Golf Course Road
NCR/PT/01939/1,NCR/PT/PS/02/051,Private Studio,4,CoWrks Golf Course Road
NCR/PT/01893/1,NCR/PT/PS/00/005,Private Studio,4,CoWrks Golf Course Road
NCR/PT/01940/1,NCR/PT/PSDD/00/063,Dedicated Desk,4,CoWrks Golf Course Road
NCR/PT/01940/1,NCR/PT/PSDD/00/064,Dedicated Desk,4,CoWrks Golf Course Road
NCR/PT/01940/1,NCR/PT/PSDD/00/065,Dedicated Desk,4,CoWrks Golf Course Road
NCR/PT/01940/1,NCR/PT/PSDD/00/066,Dedicated Desk,4,CoWrks Golf Course Road
NCR/PT/01941/1,NCR/PT/PSDD/00/067,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/01962/1,NCR/PT/DD/02/035,Dedicated Desk,8,CoWrks Golf Course Road
NCR/PT/01962/1,NCR/PT/DD/02/036,Dedicated Desk,8,CoWrks Golf Course Road
NCR/PT/01962/1,NCR/PT/DD/02/037,Dedicated Desk,8,CoWrks Golf Course Road
NCR/PT/01962/1,NCR/PT/DD/02/038,Dedicated Desk,8,CoWrks Golf Course Road
NCR/PT/01962/1,NCR/PT/DD/02/039,Dedicated Desk,8,CoWrks Golf Course Road
NCR/PT/01962/1,NCR/PT/DD/02/040,Dedicated Desk,8,CoWrks Golf Course Road
NCR/PT/01962/1,NCR/PT/DD/02/041,Dedicated Desk,8,CoWrks Golf Course Road
NCR/PT/01962/1,NCR/PT/DD/02/042,Dedicated Desk,8,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/DD/02/043,Dedicated Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/DD/02/044,Dedicated Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/DD/02/045,Dedicated Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/DD/02/046,Dedicated Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/DD/02/047,Dedicated Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/DD/02/048,Dedicated Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/DD/02/049,Dedicated Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/DD/02/050,Dedicated Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/001,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/002,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/003,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/004,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/005,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/006,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/007,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/008,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/009,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/010,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/011,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/012,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/013,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/014,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/015,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/016,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/018,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/019,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/020,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/021,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/022,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/024,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/025,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/026,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/027,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/028,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/029,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/FD/00/030,Flexible Desk,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/PS/00/009,Private Studio,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/PS/00/002,Private Studio,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/PS/00/003,Private Studio,70,CoWrks Golf Course Road
NCR/PT/01966/1,NCR/PT/PS/00/004,Private Studio,70,CoWrks Golf Course Road
NCR/PT/01976/1,NCR/PT/DD/02/055,Dedicated Desk,3,CoWrks Golf Course Road
NCR/PT/01976/1,NCR/PT/DD/02/057,Dedicated Desk,3,CoWrks Golf Course Road
NCR/PT/01976/1,NCR/PT/DD/02/058,Dedicated Desk,3,CoWrks Golf Course Road
NCR/PT/01969/2,NCR/PT/DD/01/016,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/01977/1,NCR/PT/FD/00/031,Flexible Desk,3,CoWrks Golf Course Road
NCR/PT/01977/1,NCR/PT/FD/00/019,Flexible Desk,3,CoWrks Golf Course Road
NCR/PT/01976/1,NCR/PT/CP/00/011,Car Parking,3,CoWrks Golf Course Road
NCR/PT/01977/1,NCR/PT/PSDD/00/069,Dedicated Desk,3,CoWrks Golf Course Road
NCR/PT/01967/1,NCR/PT/VO/00/001,Virtual Office,0,CoWrks Golf Course Road
NCR/PT/02982/2,NCR/PT/PS/2B/001,Private Studio,148,CoWrks Golf Course Road
NCR/PT/02982/2,NCR/PT/PS/2B/016,Private Studio,148,CoWrks Golf Course Road
NCR/PT/03099/1,NCR/PT/DD/01/028,Dedicated Desk,6,CoWrks Golf Course Road
NCR/PT/03099/1,NCR/PT/DD/01/029,Dedicated Desk,6,CoWrks Golf Course Road
NCR/PT/03099/1,NCR/PT/DD/01/030,Dedicated Desk,6,CoWrks Golf Course Road
NCR/PT/03099/1,NCR/PT/DD/01/031,Dedicated Desk,6,CoWrks Golf Course Road
NCR/PT/03099/1,NCR/PT/DD/01/033,Dedicated Desk,6,CoWrks Golf Course Road
NCR/PT/03107/1,NCR/PT/DD/01/028,Dedicated Desk,6,CoWrks Golf Course Road
NCR/PT/03107/1,NCR/PT/DD/01/029,Dedicated Desk,6,CoWrks Golf Course Road
NCR/PT/03107/1,NCR/PT/DD/01/030,Dedicated Desk,6,CoWrks Golf Course Road
NCR/PT/03107/1,NCR/PT/DD/01/031,Dedicated Desk,6,CoWrks Golf Course Road
NCR/PT/03107/1,NCR/PT/DD/01/033,Dedicated Desk,6,CoWrks Golf Course Road
NCR/PT/03107/1,NCR/PT/FD/00/031,Flexible Desk,6,CoWrks Golf Course Road
NCR/PT/01772/1,NCR/PT/DD/01/002,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/02593/1,NCR/PT/DD/01/025,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/02717/1,NCR/PT/PS/01/022,Private Studio,2,CoWrks Golf Course Road
NCR/PT/02892/1,NCR/PT/CP/00/014,Car Parking,0,CoWrks Golf Course Road
NCR/PT/02751/1,NCR/PT/FD/00/031,Flexible Desk,1,CoWrks Golf Course Road
NCR/PT/02757/1,NCR/PT/DD/02/044,Dedicated Desk,4,CoWrks Golf Course Road
NCR/PT/02757/1,NCR/PT/DD/02/045,Dedicated Desk,4,CoWrks Golf Course Road
NCR/PT/02757/1,NCR/PT/DD/02/046,Dedicated Desk,4,CoWrks Golf Course Road
NCR/PT/02757/1,NCR/PT/DD/02/047,Dedicated Desk,4,CoWrks Golf Course Road
NCR/PT/02763/1,NCR/PT/DD/02/059,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/02759/1,NCR/PT/DD/02/043,Dedicated Desk,1,CoWrks Golf Course Road
NCR/PT/02787/1,NCR/PT/CP/00/041,Car Parking,0,CoWrks Golf Course Road
NCR/PT/02778/1,NCR/PT/CP/00/039,Car Parking,0,CoWrks Golf Course Road
NCR/PT/02778/1,NCR/PT/CP/00/040,Car Parking,0,CoWrks Golf Course Road
NCR/PT/02809/1,NCR/PT/CP/00/012,Car Parking,0,CoWrks Golf Course Road
NCR/PT/02811/1,Telephony,Telephony,0,CoWrks Golf Course Road
NCR/PT/02774/1,NCR/PT/CP/00/024,Car Parking,0,CoWrks Golf Course Road
NCR/PT/02774/1,NCR/PT/CP/00/025,Car Parking,0,CoWrks Golf Course Road
NCR/PT/02407/1,NCR/PT/CP/00/041,Car Parking,0,CoWrks Golf Course Road
NCR/PT/02407/1,NCR/PT/CP/00/039,Car Parking,0,CoWrks Golf Course Road
NCR/PT/02674/2,NCR/PT/FD/00/018,Flexible Desk,3,CoWrks Golf Course Road
NCR/PT/02674/2,NCR/PT/DD/01/016,Dedicated Desk,3,CoWrks Golf Course Road
NCR/PT/02674/2,NCR/PT/DD/01/019,Dedicated Desk,3,CoWrks Golf Course Road
NCR/PT/03108/1,NCR/PT/DD/01/013,Dedicated Desk,2,CoWrks Golf Course Road
NCR/PT/03108/1,NCR/PT/DD/01/014,Dedicated Desk,2,CoWrks Golf Course Road
NCR/PT/03109/1,NCR/PT/PS/2B/011,Private Studio,2,CoWrks Golf Course Road
NCR/PT/01107/1,NCR/PT/PS/01/022,Private Studio,12,CoWrks Golf Course Road
NCR/PT/01107/1,NCR/PT/PS/01/023,Private Studio,12,CoWrks Golf Course Road
NCR/PT/01107/1,NCR/PT/DD/01/003,Dedicated Desk,12,CoWrks Golf Course Road
NCR/PT/01107/1,NCR/PT/DD/01/002,Dedicated Desk,12,CoWrks Golf Course Road
NCR/PT/01107/1,NCR/PT/DD/01/003,Dedicated Desk,12,CoWrks Golf Course Road
NCR/PT/01107/1,NCR/PT/DD/01/004,Dedicated Desk,12,CoWrks Golf Course Road
NCR/PT/01107/1,NCR/PT/DD/01/005,Dedicated Desk,12,CoWrks Golf Course Road
NCR/PT/01107/1,NCR/PT/DD/01/006,Dedicated Desk,12,CoWrks Golf Course Road
NCR/PT/01241/1,NCR/PT/PS/00/005,Private Studio,4,CoWrks Golf Course Road
NCR/PT/01278/1,NCR/PT/PS/00/011,Private Studio,60,CoWrks Golf Course Road
NCR/PT/01278/1,NCR/PT/PS/00/012,Private Studio,60,CoWrks Golf Course Road
NCR/PT/01278/1,NCR/PT/PS/00/013,Private Studio,60,CoWrks Golf Course Road
NCR/PT/01278/1,NCR/PT/PS/01/014,Private Studio,60,CoWrks Golf Course Road
NCR/PT/01278/1,NCR/PT/PS/01/015,Private Studio,60,CoWrks Golf Course Road
NCR/PT/01278/1,NCR/PT/PS/01/016,Private Studio,60,CoWrks Golf Course Road
NCR/PT/01433/1,NCR/PT/PS/01/024,Private Studio,4,CoWrks Golf Course Road
NCR/PT/02622/1,NCR/PT/CP/00/001,Car Parking,4,CoWrks Golf Course Road
NCR/PT/02520/1,NCR/PT/CP/00/049,Car Parking,0,CoWrks Golf Course Road
NCR/PT/03011/1,NCR/PT/PS/2B/011,Private Studio,2,CoWrks Golf Course Road
NCR/PT/03005/1,NCR/PT/PS/02/047,Private Studio,10,CoWrks Golf Course Road
NCR/PT/02982/2,NCR/PT/PS/2B/002,Private Studio,148,CoWrks Golf Course Road
NCR/PT/02982/2,NCR/PT/PS/2B/003,Private Studio,148,CoWrks Golf Course Road
NCR/PT/02982/2,NCR/PT/PS/2B/004,Private Studio,148,CoWrks Golf Course Road
NCR/PT/02982/2,NCR/PT/PS/2B/005,Private Studio,148,CoWrks Golf Course Road
NCR/PT/02982/2,NCR/PT/PS/2B/006,Private Studio,148,CoWrks Golf Course Road
NCR/PT/02982/2,NCR/PT/PS/2B/007,Private Studio,148,CoWrks Golf Course Road
